name,status,origin_x_m,origin_y_m,origin_z_m,x_axis_x,x_axis_y,x_axis_z,y_axis_x,y_axis_y,y_axis_z,z_axis_x,z_axis_y,z_axis_z,origin_x_mm,origin_y_mm,origin_z_mm,raw_m0,raw_m1,raw_m2,raw_m3,raw_m4,raw_m5,raw_m6,raw_m7,raw_m8,raw_m9,raw_m10,raw_m11
arm_flange_mount_csys,FOUND,0.232614526113,0.035510660992,1.292688764734,0.756816670753,-0.652001629808,-0.046069530029,0.000000000000,-0.070482883017,0.997512988989,-0.653627207871,-0.754934459360,-0.053342620870,232.614526113004,35.510660991541,1292.688764734190,0.756816670753,-0.652001629808,-0.046069530029,0.000000000000,-0.070482883017,0.997512988989,-0.653627207871,-0.754934459360,-0.053342620870,0.232614526113,0.035510660992,1.292688764734
hand_wrist_mount_csys,MISSING,,,,,,,,,,,,,,,,,,,
hand_wrist_mount_cysc,MISSING,,,,,,,,,,,,,,,,,,,
csys_base,FOUND,0.663675853204,0.046584196190,1.289087807235,0.000000000000,0.000000000000,-1.000000000000,0.000000000000,-1.000000000000,0.000000000000,-1.000000000000,0.000000000000,0.000000000000,663.675853204193,46.584196190318,1289.087807234750,0.000000000000,0.000000000000,-1.000000000000,0.000000000000,-1.000000000000,0.000000000000,-1.000000000000,0.000000000000,0.000000000000,0.663675853204,0.046584196190,1.289087807235
csys_j1,MISSING,,,,,,,,,,,,,,,,,,,
csys_j2,FOUND,0.530675853204,0.031829539263,1.325458985370,1.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.926654220014,-0.375914826165,0.000000000000,0.375914826165,-0.926654220014,530.675853204194,31.829539263349,1325.458985370290,1.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.926654220014,-0.375914826165,0.000000000000,0.375914826165,-0.926654220014,0.530675853204,0.031829539263,1.325458985370
csys_j3,FOUND,0.399845019763,0.052754228641,1.291582578549,0.019148616216,0.000000000000,0.999816648440,-0.047141427399,-0.998887816859,0.000902858642,0.998704669219,-0.047150072438,-0.019127319448,399.845019763411,52.754228641068,1291.582578549150,0.019148616216,0.000000000000,0.999816648440,-0.047141427399,-0.998887816859,0.000902858642,0.998704669219,-0.047150072438,-0.019127319448,0.399845019763,0.052754228641,1.291582578549
csys_j4,FOUND,0.254364040368,0.055071382291,1.349245100308,0.999884573925,0.000000000000,-0.015193381004,-0.001268833179,-0.996506752056,-0.083502593790,-0.015140306757,0.083512233279,-0.996391729193,254.364040367840,55.071382290687,1349.245100308010,0.999884573925,0.000000000000,-0.015193381004,-0.001268833179,-0.996506752056,-0.083502593790,-0.015140306757,0.083512233279,-0.996391729193,0.254364040368,0.055071382291,1.349245100308
ee_tool_frame,MISSING,,,,,,,,,,,,,,,,,,,
csys_ee_mount,MISSING,,,,,,,,,,,,,,,,,,,
hand_base_csys,MISSING,,,,,,,,,,,,,,,,,,,
wrist_bottom_csys,MISSING,,,,,,,,,,,,,,,,,,,
wrist_1_csys,MISSING,,,,,,,,,,,,,,,,,,,
wrist_2_csys,MISSING,,,,,,,,,,,,,,,,,,,
candidate_ee_mount,MISSING,,,,,,,,,,,,,,,,,,,
arm_flange_mount_point,MISSING,,,,,,,,,,,,,,,,,,,
arm_flange_mount_csys,FOUND,0.232614526113,0.035510660992,1.292688764734,0.756816670753,-0.652001629808,-0.046069530029,0.000000000000,-0.070482883017,0.997512988989,-0.653627207871,-0.754934459360,-0.053342620870,232.614526113004,35.510660991541,1292.688764734190,0.756816670753,-0.652001629808,-0.046069530029,0.000000000000,-0.070482883017,0.997512988989,-0.653627207871,-0.754934459360,-0.053342620870,0.232614526113,0.035510660992,1.292688764734
