rank,name,family,status,success,trials,contact,lift,true_pinch,release,terminal_reasons,hold_true_two_tip_mean,hold_wrap_fraction_mean,hold_non_tip_ratio_mean,hold_floor_contact_mean,motor_feedback_max_hand_iq_a,metadata,report
1,ls460_gz0021,lift_contact_combo,cached,11,12,12,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""lift_gate_failed"": 1}",0.916667,0.000000,0.138889,0.050000,0.208820,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_ls460_gz0021.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_ls460_gz0021_report.md
2,ls460_sep058,lift_morphology_combo,cached,11,12,12,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""lift_gate_failed"": 1}",0.916667,0.000000,0.143162,0.050000,0.208834,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_ls460_sep058.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_ls460_sep058_report.md
3,ls460_sep062,lift_morphology_combo,cached,11,12,12,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""lift_gate_failed"": 1}",0.916667,0.000000,0.143162,0.050000,0.208834,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_ls460_sep062.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_ls460_sep062_report.md
4,baseline_di,baseline,cached,11,12,12,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""lift_gate_failed"": 1}",0.916667,0.000000,0.155983,0.066667,0.208834,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_baseline_di.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_baseline_di_report.md
5,ls460_gz0023,lift_contact_combo,cached,11,12,12,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""lift_gate_failed"": 1}",0.916667,0.000000,0.170940,0.045833,0.208844,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_ls460_gz0023.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_ls460_gz0023_report.md
6,lift_ls460,lift_continuation,cached,11,12,12,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""lift_gate_failed"": 1}",0.916667,0.000000,0.170940,0.050000,0.208834,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_lift_ls460.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_lift_ls460_report.md
7,ls460_active_abd_m048,lift_morphology_combo,cached,10,12,10,10,10,12,"{""success_event_contact_gated_true_pinch_release_ball"": 10, ""contact_gate_failed"": 2}",0.833333,0.000000,0.160256,0.000000,0.206273,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch3_ls460_active_abd_m048.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch3_ls460_active_abd_m048_report.md
