stage,rank,variant,family,candidate,success,trials,contact,lift,true_pinch,release,residual_events,hold_true_tip,hold_non_tip,hold_wrap,terminal_reasons,decision
validation,1,di_directional_gx_clamp_m0025_p0000,vision_directional_teacher,baseline_di,49,50,50,49,49,50,0,0.972,0.0717948717948718,0.0,"{""success_event_contact_gated_true_pinch_release_ball"": 49, ""lift_gate_failed"": 1}",advance_candidate
validation,2,baseline_di_off,anchor,baseline_di,46,50,48,46,46,49,0,0.912,0.07282051282051283,0.0,"{""success_event_contact_gated_true_pinch_release_ball"": 46, ""contact_gate_failed"": 2, ""lift_gate_failed"": 2}",frozen_anchor
