rank,name,family,status,success,trials,contact,lift,true_pinch,release,terminal_reasons,hold_true_two_tip_mean,hold_wrap_fraction_mean,hold_non_tip_ratio_mean,hold_floor_contact_mean,motor_feedback_max_hand_iq_a,metadata,report
1,lift_ls460,lift_continuation,ok,11,12,11,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""contact_gate_failed"": 1}",0.916667,0.000000,0.038462,0.000000,0.198938,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_lift_ls460.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_lift_ls460_report.md
2,robust_gz0025_watch_nontip,contact_entry,ok,11,12,11,11,11,12,"{""success_event_contact_gated_true_pinch_release_ball"": 11, ""contact_gate_failed"": 1}",0.879167,0.000000,0.036325,0.000000,0.199034,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_robust_gz0025_watch_nontip.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_robust_gz0025_watch_nontip_report.md
3,contact_gz0023,contact_entry,ok,10,12,11,11,10,12,"{""success_event_contact_gated_true_pinch_release_ball"": 10, ""contact_gate_failed"": 1, ""true_pinch_morphology_gate_failed"": 1}",0.841667,0.000000,0.053419,0.000000,0.197811,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_contact_gz0023.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_contact_gz0023_report.md
4,baseline_di,baseline,ok,10,12,11,11,10,12,"{""success_event_contact_gated_true_pinch_release_ball"": 10, ""contact_gate_failed"": 1, ""true_pinch_morphology_gate_failed"": 1}",0.837500,0.000000,0.023504,0.000000,0.198938,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_baseline_di.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_baseline_di_report.md
5,sep058,morphology_clean,ok,10,12,11,11,10,12,"{""success_event_contact_gated_true_pinch_release_ball"": 10, ""contact_gate_failed"": 1, ""true_pinch_morphology_gate_failed"": 1}",0.837500,0.000000,0.023504,0.000000,0.198938,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_sep058.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_sep058_report.md
6,sep062,morphology_clean,ok,10,12,11,11,10,12,"{""success_event_contact_gated_true_pinch_release_ball"": 10, ""contact_gate_failed"": 1, ""true_pinch_morphology_gate_failed"": 1}",0.837500,0.000000,0.023504,0.000000,0.198938,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_sep062.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_sep062_report.md
7,active_abd_m048,morphology_clean,ok,10,12,10,10,10,12,"{""success_event_contact_gated_true_pinch_release_ball"": 10, ""contact_gate_failed"": 2}",0.833333,0.000000,0.029915,0.000000,0.196796,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_active_abd_m048.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_active_abd_m048_report.md
8,lift_ls500,lift_continuation,ok,9,12,11,10,9,12,"{""success_event_contact_gated_true_pinch_release_ball"": 9, ""true_pinch_morphology_gate_failed"": 1, ""contact_gate_failed"": 1, ""lift_gate_failed"": 1}",0.758333,0.000000,0.017094,0.066667,0.198938,D:\tendon_project\simulations\models\arm_hand_stage1_export\metadata\stage3_12_autotune_batch0_lift_ls500.json,D:\tendon_project\simulations\models\arm_hand_stage1_export\docs\stage3_12_autotune_batch0_lift_ls500_report.md
