stage,rank,variant,family,candidate,success,trials,contact,lift,true_pinch,release,residual_events,hold_true_tip,hold_non_tip,hold_wrap,terminal_reasons,decision
smoke,1,di_qhead_prelift_xneg_s0003_m0006,quality_retarget,baseline_di,2,4,3,2,2,4,0,0.5,0.12820512820512822,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,2,baseline_di_off,anchor,baseline_di,2,4,3,2,2,4,0,0.5,0.14102564102564105,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",frozen_anchor
smoke,3,di_qhead_close_s002_m010_w100,quality_close,baseline_di,2,4,3,2,2,4,20,0.5,0.14102564102564105,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,4,di_qhead_wait_w120,quality_wait,baseline_di,2,4,3,2,2,4,24,0.5,0.14102564102564105,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,5,di_qhead_close_s003_m012_w120,quality_close,baseline_di,2,4,3,2,2,4,24,0.5,0.14102564102564105,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,6,lift_ls460_off,diagnostic_static,lift_ls460,2,4,3,2,2,4,0,0.5,0.16666666666666669,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,7,ls460_qhead_close_s002_m010_w100,lift_plus_quality_close,lift_ls460,2,4,3,2,2,4,20,0.5,0.16666666666666669,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,8,di_qhead_pid_close_s002_w100,quality_pid_like,baseline_di,2,4,3,2,2,4,51,0.5,0.16666666666666669,0.0,"{""contact_gate_failed"": 1, ""success_event_contact_gated_true_pinch_release_ball"": 2, ""lift_gate_failed"": 1}",tie_diagnostic
