Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ring_proximal_phalanx_link,0.0178538736492858,-0.000890527671610228,-0.00013231144577152,0,0,0,0.00792174275404424,3.03496546387024E-07,5.68858762362899E-08,-4.81366514022467E-10,1.34142673295215E-06,1.80009392858157E-10,1.31264637791399E-06,0,0,0,0,0,0,package://hand_export/meshes/ring_proximal_phalanx_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/ring_proximal_phalanx_link.STL,,hand 装配(1).STEP-1/Ring Proxmail phalanx.STEP-1,ring_mcp_abd_csys,ring_mcp_abd_axis,ring_mcp_abd_joint,revolute,-0.00087181,0.0097164,-0.00026674,1.5708,0,1.6603,ring_mcp_flex_link,0,0,-1,1,1,-0.2,1.2,,,,,,,,
ring_proximal_inter_link,0.00171914222568875,0.0124714959137608,4.41995972102135E-05,0,0,0,0.00620897634823359,7.29637814983052E-07,-6.01992567495179E-08,6.27365453826142E-10,2.45440640657678E-07,1.09958107852288E-09,7.11743007975891E-07,0,0,0,0,0,0,package://hand_export/meshes/ring_proximal_inter_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/ring_proximal_inter_link.STL,,hand 装配(1).STEP-1/Ring Proxmail inter.STEP-1,ring_pip_csys,ring_pip_axis,ring_pip_joint,revolute,0.039933,-0.0023102,-0.0003,0,0,-1.5708,ring_proximal_phalanx_link,0,0,-1,1,1,0,1.57,,,,,,,,
ring_distal_link,0.0094871,-0.002955,-1.5903E-05,0,0,0,0.0053519,1.6423E-07,7.0991E-08,1.9237E-10,4.2264E-07,-7.9504E-11,4.208E-07,0,0,0,0,0,0,package://hand_export/meshes/ring_distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/ring_distal_link.STL,,hand 装配(1).STEP-1/Ring Assem of distal phalanx1.STEP-1,ring_dip_csys,ring_dip_axis,ring_dip_joint,revolute,0.0039743,0.029736,-0.0002,0,0,1.5708,ring_proximal_inter_link,0,0,-1,1,1,0,1.2,,,,,,,,
little_mcp_flex_link,-0.00104561357020145,0.00554148524537515,-0.00077116132195167,0,0,0,0.00175480563893916,7.06153643167311E-08,-4.5141828962132E-09,2.60069876194848E-10,9.36868656905346E-08,-1.37946596239675E-09,1.09859302328907E-07,0,0,0,0,0,0,package://hand_export/meshes/little_mcp_flex_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/little_mcp_flex_link.STL,,hand 装配(1).STEP-1/Index ab.STEP-2,little_mcp_flex_csys,little_mcp_flex_axis,little_mcp_flex_joint,revolute,-0.0014333,0.082348,0.035197,0,1.5708,0,palm_link,0,0,-1,1,1,-0.5,0.5,,,,,,,,
little_proximal_phalanx_link,0.015370850715067,-0.000431406830916418,-0.000102284890852459,0,0,0,0.00705324548878646,2.65507582398759E-07,1.5202735063685E-08,-1.27667979586524E-10,1.00030013753137E-06,3.38372571006134E-10,9.69826522514469E-07,0,0,0,0,0,0,package://hand_export/meshes/little_proximal_phalanx_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/little_proximal_phalanx_link.STL,,hand 装配(1).STEP-1/Little Proxmail phalanx.STEP-1,little_mcp_abd_csys,little_mcp_abd_axis,little_mcp_abd_joint,revolute,-0.0018088,0.0095862,-0.00026674,1.5708,0,1.7573,little_mcp_flex_link,0,0,-1,1,1,-0.2,1.2,,,,,,,,
little_proximal_inter_link,0.000380928716927166,0.00994790135237095,4.4280717981543E-05,0,0,0,0.00508794579945084,4.95646137709918E-07,-6.70138982533522E-09,3.29374915112418E-10,1.92746385587837E-07,7.55181277658614E-10,4.73040630002351E-07,0,0,0,0,0,0,package://hand_export/meshes/little_proximal_inter_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/little_proximal_inter_link.STL,,hand 装配(1).STEP-1/Little Proxmail inter.STEP-1,little_pip_csys,little_pip_axis,little_pip_joint,revolute,0.034983,-0.0010805,-0.0003,0,0,-1.5708,little_proximal_phalanx_link,0,0,-1,1,1,0,1.57,,,,,,,,
little_distal_link,0.0095683,-0.0026816,-1.6394E-05,0,0,0,0.0053522,1.6037E-07,6.3464E-08,1.762E-10,4.2646E-07,-8.2773E-11,4.2077E-07,0,0,0,0,0,0,package://hand_export/meshes/little_distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/little_distal_link.STL,,hand 装配(1).STEP-1/little Assem of distal phalanx1.STEP-1,little_dip_csys,little_dip_axis,little_dip_joint,revolute,0.00077177,0.024988,-0.0002,0,0,1.5708,little_proximal_inter_link,0,0,-1,1,1,0,1.2,,,,,,,,
thumb_root_connector_link,1.73534805262693E-05,5.27622540975291E-05,-0.00526762973045566,0,0,0,0.00248937081107541,6.34311166067718E-08,-2.17431742623434E-09,1.58667596498804E-12,5.69080132162877E-08,2.78701678315276E-10,9.09588506750703E-08,0,0,0,0,0,0,package://hand_export/meshes/thumb_root_connector_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/thumb_root_connector_link.STL,,hand 装配(1).STEP-1/D18d12H4.STEP-1;hand 装配(1).STEP-1/Trapezium3.STEP-1;hand 装配(1).STEP-1/Trapezium1.STEP-1,Origin_thumb_root_connector_fixed_joint2,thumb_cmc_axis,thumb_root_connector_fixed_joint,fixed,0.0064688,0.019332,-0.016418,-1.2538,0.11766,2.4355,palm_link,0,0,0,,,,,,,,,,,,
thumb_metacarpal_link,-0.00825562977435378,0.0248862869314782,6.61438500722256E-06,0,0,0,0.0123752977926555,1.98572412059607E-06,4.44402763593497E-07,-1.52132058467194E-09,7.96511253347288E-07,1.40958796608385E-09,2.10747837848117E-06,0,0,0,0,0,0,package://hand_export/meshes/thumb_metacarpal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/thumb_metacarpal_link.STL,,hand 装配(1).STEP-1/Os metacarpale Ⅰ3.STEP-1,thumb_cmc_csys,thumb_cmc_axis,thumb_cmc_joint,revolute,-6.3364E-05,0.00012377,-0.011586,-1.5515,-0.31614,-1.8718,thumb_root_connector_link,0,0,-1,1,1,-0.8,0.8,,,,,,,,
thumb_proximal_link,-0.0015094,0.01438,-4.9187E-05,0,0,0,0.0062816,9.631E-07,7.5506E-08,1.1157E-09,2.2111E-07,-3.0754E-09,9.151E-07,0,0,0,0,0,0,package://hand_export/meshes/thumb_proximal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/thumb_proximal_link.STL,,hand 装配(1).STEP-1/Proximal phalanx of thumb.STEP-1,thumb_mcp_csys,thumb_mcp_axis,thumb_mcp_joint,revolute,-0.016224,0.049404,-0.000175,0,0,0,thumb_metacarpal_link,0,0,-1,1,1,0,1.2,,,,,,,,
thumb_distal_link,0.00022649,-0.012179,-5.3426E-06,0,0,0,0.0073168,5.4042E-07,-1.0439E-08,2.0957E-10,2.2321E-07,3.3753E-10,5.1052E-07,0,0,0,0,0,0,package://hand_export/meshes/thumb_distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/thumb_distal_link.STL,,hand 装配(1).STEP-1/Distal phalanx of thumb.STEP-1,thumb_ip_csys,thumb_ip_axis,thumb_ip_joint,revolute,-0.0033345,0.031826,-0.000105,0,0,3.1416,thumb_proximal_link,0,0,1,1,1,1.2,1.2,,,,,,,,
